UID,BLOCKID,SUMLEVEL,COUNTYID,STATEID,state,state_ab,city,place,type,primary,zip_code,area_code,lat,lng,ALand,AWater,pop,male_pop,female_pop,rent_mean,rent_median,rent_stdev,rent_sample_weight,rent_samples,rent_gt_10,rent_gt_15,rent_gt_20,rent_gt_25,rent_gt_30,rent_gt_35,rent_gt_40,rent_gt_50,universe_samples,used_samples,hi_mean,hi_median,hi_stdev,hi_sample_weight,hi_samples,family_mean,family_median,family_stdev,family_sample_weight,family_samples,hc_mortgage_mean,hc_mortgage_median,hc_mortgage_stdev,hc_mortgage_sample_weight,hc_mortgage_samples,hc_mean,hc_median,hc_stdev,hc_samples,hc_sample_weight,home_equity_second_mortgage,second_mortgage,home_equity,debt,second_mortgage_cdf,home_equity_cdf,debt_cdf,hs_degree,hs_degree_male,hs_degree_female,male_age_mean,male_age_median,male_age_stdev,male_age_sample_weight,male_age_samples,female_age_mean,female_age_median,female_age_stdev,female_age_sample_weight,female_age_samples,pct_own,married,married_snp,separated,divorced
267822,,140,53,36,New York,NY,Hamilton,Hamilton,City,tract,13346,315,42.8408125,-75.5015238,202183361,1699120,5230,2612,2618,769.38638,784,232.63967,272.34441,362,0.86761,0.79155,0.59155,0.45634,0.42817,0.18592,0.15493,0.12958,387,355,63125.28406,48120,49042.01206,1290.9624,2024,67994.1479,53245,47667.30119,884.33516,1491,1414.80295,1223,641.22898,377.83135,867,570.0153,558,270.11299,770,499.29293,0.01588,0.02077,0.08919,0.52963,0.43658,0.49087,0.73341,0.89288,0.8588,0.92434,42.48574,44,22.97306,696.42136,2612,44.48629,45.33333,22.51276,685.33845,2618,0.79046,0.57851,0.01882,0.0124,0.0877
246444,,140,141,18,Indiana,IN,South Bend,Roseland,City,tract,46616,574,41.7014409,-86.2666135,1560828,100363,2633,1349,1284,804.87924,848,253.46747,312.58622,513,0.9741,0.93227,0.6992,0.6992,0.55179,0.41235,0.39044,0.27888,542,502,41931.92593,35186,31639.50203,838.74664,1127,50670.10337,43023,34715.57548,375.28798,554,864.4139,784,482.2702,316.8832,356,351.98293,336,125.40457,229,189.60606,0.02222,0.02222,0.04274,0.60855,0.42174,0.70823,0.5812,0.90487,0.86947,0.94187,34.84728,32,20.37452,323.90204,1349,36.48391,37.58333,23.43353,267.23367,1284,0.52483,0.34886,0.01426,0.01426,0.0903
245683,,140,63,18,Indiana,IN,Danville,Danville,City,tract,46122,317,39.7922023,-86.5152462,69561595,284193,6881,3643,3238,742.77365,703,323.39011,291.8552,378,0.95238,0.88624,0.7963,0.66667,0.39153,0.39153,0.28307,0.15873,459,378,84942.68317,74964,56811.62186,1155.2098,2488,95262.51431,85395,49292.67664,709.74925,1889,1506.06758,1361,731.89394,699.41354,1491,556.45986,532,184.42175,538,323.35354,0,0,0.09512,0.73484,1,0.46332,0.28704,0.94288,0.94616,0.93952,39.38154,40.83333,22.89769,888.2973,3643,42.1581,42.83333,23.94119,707.01963,3238,0.85331,0.64745,0.0283,0.01607,0.10657
279653,,140,127,72,Puerto Rico,PR,San Juan,Guaynabo,Urban,tract,927,787,18.3961028,-66.1041689,1105793,0,2700,1141,1559,803.42018,782,297.39258,259.30316,368,0.94693,0.87151,0.69832,0.61732,0.51397,0.46927,0.35754,0.32961,438,358,48733.67116,37845,45100.5401,928.32193,1267,56401.68133,44399,41082.90515,490.18479,729,1175.28642,1101,428.98751,261.28471,437,288.04047,247,185.55887,392,314.90566,0.01086,0.01086,0.01086,0.52714,0.53057,0.8253,0.73727,0.915,0.90755,0.92043,48.64749,48.91667,23.05968,274.98956,1141,47.77526,50.58333,24.32015,362.20193,1559,0.65037,0.47257,0.02021,0.02021,0.10106
247218,,140,161,20,Kansas,KS,Manhattan,Manhattan City,City,tract,66502,785,39.195573,-96.5693657,2554403,0,5637,2586,3051,938.56493,881,392.44096,1005.42886,1704,0.99286,0.98247,0.91688,0.8474,0.78247,0.60974,0.55455,0.44416,1725,1540,31834.15466,22497,34046.50907,1548.67477,1983,54053.42396,50272,39609.12605,244.08903,395,1192.58759,1125,327.49674,76.61052,134,443.68855,444,76.12674,124,79.55556,0.05426,0.05426,0.05426,0.51938,0.18332,0.65545,0.74967,1,1,1,26.07533,22.41667,11.84399,1296.89877,2586,24.17693,21.58333,11.10484,1854.48652,3051,0.13046,0.12356,0,0,0.03109
221087,,140,79,1,Alabama,AL,Trinity,Trinity,Town,tract,35673,256,34.5195819,-87.151801,78402217,487343,5475,2564,2911,605.10246,684,230.15912,272.10405,287,0.80139,0.74564,0.74564,0.58188,0.23345,0.23345,0.23345,0.08014,359,287,56912.14107,44873,40121.43988,1391.84595,2095,60875.7445,48032,39750.92905,1064.00539,1641,1137.05215,1141,377.2616,482.59538,759,338.91273,326,157.69587,977,823.46465,0,0,0.05991,0.43721,1,0.629,0.85639,0.80537,0.84111,0.77123,38.81194,41.41667,21.52576,565.96518,2564,37.06814,36.41667,22.88689,708.76625,2911,0.83215,0.58503,0.0068,0,0.1691
286689,,140,337,48,Texas,TX,Nocona,Nocona City,Town,tract,76255,940,33.8428142,-97.7843399,663218412,3122513,1947,994,953,661.76963,674,230.48928,125.45345,153,0.78431,0.71242,0.69935,0.66013,0.64052,0.64052,0.63399,0.63399,182,153,57872.25064,43761,52036.76167,523.50554,793,68632.82777,56405,48917.69947,332.78813,564,1339.98441,1016,734.84378,132.40505,210,484.73723,435,291.44606,401,274.48824,0,0,0,0.3437,1,1,0.92825,0.84475,0.84056,0.8488,39.36384,40,23.08255,245.14423,994,42.18601,42.75,23.40326,240.99337,953,0.77658,0.63974,0.0141,0.0141,0.09744
280558,,140,45,45,South Carolina,SC,Taylors,Tigerville,City,tract,29687,864,35.1367626,-82.294817,160338537,1912842,3476,1658,1818,784.36272,729,401.67621,94.0499,124,1,1,1,0.83871,0.83871,0.57258,0.52419,0.52419,146,124,74276.59665,59504,68335.13833,741.68039,1398,84050.66542,69529,60389.8494,492.9074,1027,1891.7254,1767,1109.67216,272.42931,622,391.71253,308,291.09124,630,503.74471,0.03355,0.03355,0.09665,0.49681,0.31734,0.45654,0.7839,0.86265,0.82111,0.9,46.63912,53.08333,22.60861,411.56696,1658,46.22879,49.75,21.76534,461.22601,1818,0.89931,0.73197,0.0785,0.05587,0.05587
269138,,140,81,36,New York,NY,South Richmond Hill,New York City,City,tract,11419,718,40.6886096,-73.8305968,157581,0,3530,1778,1752,1438.85143,1501,444.9146,76.80713,332,1,0.93578,0.93578,0.82875,0.80428,0.71254,0.63609,0.43425,332,327,69482.99919,44906,62747.61391,510.47908,804,69349.724,51123,56330.89786,469.48412,753,2941.2698,2792,892.72056,59.9083,324,966.47211,954,224.02324,148,71.39181,0.02331,0.02331,0.11441,0.68644,0.41132,0.3776,0.4009,0.7631,0.79669,0.73226,34.08697,30.66667,19.57786,460.16923,1778,37.27535,37.33333,20.27963,413.66078,1752,0.59602,0.52974,0.13016,0.02309,0.05318
227164,,140,37,6,California,CA,Rancho Palos Verdes,Palos Verdes Estates City,City,tract,90275,310,33.7558674,-118.4075895,3565039,1123792,4139,2086,2053,2104.29576,1856,838.73396,48.12378,391,0.96675,0.96675,0.91304,0.83632,0.6445,0.61637,0.58824,0.46036,418,391,119148.7838,98399,91993.70081,595.05678,1557,135702.8403,124446,76150.66062,321.70488,1155,3306.2624,3302,1137.02429,110.26388,702,971.13374,820,491.04684,437,190.98724,0.01229,0.02809,0.21247,0.61633,0.36543,0.0964,0.56452,0.98606,0.98635,0.98578,45.09668,47.33333,24.60028,524.26788,2086,46.41178,50.5,24.7763,439.4464,2053,0.73651,0.65905,0.0337,0.00514,0.04911
